eng_title,episode_num,jp_title,show_type
GUNDAM BUILD DIVERS Re:RISE,13,Gundam Build Divers Re:Rise 2nd Season,ONA
Soulmate Adventure,12,Feng Ling Yu Xiu,ONA
The Concierge,1,Hokkyoku Hyakkaten no Concierge-san,Movie
Yu-Gi-Oh! 5D's,154,Yu☆Gi☆Oh! 5D's,TV
Inazuma Eleven GO: The Ultimate Bond Griffon,1,Inazuma Eleven Go: Kyuukyoku no Kizuna Gryphon,Movie
Captain Harlock: Arcadia of my Youth,1,Waga Seishun no Arcadia,Movie
Saga of Tanya the Evil: Operation Desert Pasta,1,Youjo Senki: Sabaku no Pasta Daisakusen,ONA
My Little Monster,13,Tonari no Kaibutsu-kun,TV
The Magical Revolution of the Reincarnated Princess and the Genius Young Lady,12,Tensei Oujo to Tensai Reijou no Mahou Kakumei,TV
Symphogear G,13,Senki Zesshou Symphogear G,TV
You're Under Arrest,4,Taiho Shichau zo,OVA
"Don't Toy with Me, Miss Nagatoro 2nd Attack",12,"Ijiranaide, Nagatoro-san 2nd Attack",TV
N/A,12,High School DxD New,TV
Pendulum,1,Furiko,Special
N/A,5,Fairy Tail OVA,OVA
N/A,12,Hidamari Sketch,TV
N/A,52,Haha wo Tazunete Sanzenri,TV
The Fruit of Grisaia,13,Grisaia no Kajitsu,TV
N/A,13,Elfen Lied,TV
Ascendance of a Bookworm: Side Story,1,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen OVA,OVA
White Snake 2: The Tribulation of the Green Snake,1,Bai She II: Qing She Jie Qi,Movie
Crayon Shin-chan: Shrouded in Mystery! The Flowers of Tenkazu Academy,1,Crayon Shin-chan Movie 29: Mystery Meki! Hana no Tenkasu Gakuen,Movie
Laughing Under the Clouds,12,Donten ni Warau,TV
Bleach: Thousand-Year Blood War - The Separation Recap,1,Bleach: Sennen Kessen-hen - Ketsubetsu-tan Recap,TV Special
Captain Tsubasa,52,Captain Tsubasa: Road to 2002,TV
N/A,131,Dragon Ball Super,TV
N/A,12,Another,TV
Aggretsuko (ONA) 5th Season,10,Aggressive Retsuko (ONA) 5th Season,ONA
Is It Wrong to Try to Pick Up Girls in a Dungeon?: Arrow of the Orion,1,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka Movie: Orion no Ya,Movie
The Quintessential Quintuplets*,2,5-toubun no Hanayome*,TV Special
N/A,61,Hime-chan no Ribbon,TV
Fist of the North Star: Raoh Side Story Junai Arc,1,Hokuto no Ken: Raoh Gaiden Junai-hen,Movie
Baki the Grappler,24,Grappler Baki (TV),TV
Doraemon the Movie: Nobita and the Birth of Japan 2016,1,Doraemon Movie 36: Shin Nobita no Nippon Tanjou,Movie
N/A,12,Dead Mount Death Play Part 2,TV
Crayon Shin-chan: Serious Battle! Robot Dad Strikes Back,1,Crayon Shin-chan Movie 22: Gachinko! Gyakushuu no Robo To-chan,Movie
N/A,1,Carnival Phantasm EX Season,OVA
"Love, Chunibyo & Other Delusions!: Heart Throb - The Rikka Wars",1,Chuunibyou demo Koi ga Shitai! Ren: The Rikka Wars,Special
Chio's School Road,12,Chio-chan no Tsuugakuro,TV
My Hero Academia: Heroes Rising - Epilogue Plus,1,Boku no Hero Academia the Movie 2: Heroes:Rising - Epilogue Plus - Yume wo Genjitsu ni,Special
Fullmetal Alchemist: Brotherhood 4-koma Theater,16,Fullmetal Alchemist: Brotherhood - 4-koma Gekijou,Special
Can a Boy-Girl Friendship Survive?,282,"Danjo no Yuujou wa Seiritsu suru? (Iya, Shinai!!)",TV
The Faraway Paladin: The Lord of the Rust Mountains,12,Saihate no Paladin: Tetsusabi no Yama no Ou,TV
"One Piece: Episode of Chopper Plus - Bloom in the Winter, Miracle Sakura",1,"One Piece Movie 09: Episode of Chopper Plus - Fuyu ni Saku, Kiseki no Sakura",Movie
Lookism,8,Oemojisangjuui,ONA
2.5 Dimensional Seduction,24,2.5-jigen no Ririsa,TV
The Seven Deadly Sins: Four Knights of the Apocalypse Season 2,12,Nanatsu no Taizai: Mokushiroku no Yonkishi 2nd Season,TV
The Unwanted Undead Adventurer,12,Nozomanu Fushi no Boukensha,TV
N/A,12,Do It Yourself!!,TV
Blade of the Immortal,24,Mugen no Juunin: Immortal,ONA
Detective Conan Movie 11: Jolly Roger in the Deep Azure,1,Meitantei Conan Movie 11: Konpeki no Jolly Roger,Movie
One Hundred Thousand Years of Qi Refining,260,Lian Qi Shi Wan Nian,ONA
N/A,1,Kiniro no Corda: Primo Passo - Hitonatsu no Encore,Special
N/A,8,Psycho-Pass 3,TV
Cinderella Chef: Adorable Food Goddess,12,Meng Qi Shi Shen: Zaijie Liangyuan,ONA
Pokémon Evolutions,8,Pokemon Evolutions,ONA
Pokémon the Series: XY,93,Pokemon XY,TV
The Witch and the Beast,12,Majo to Yajuu,TV
Detective Conan Magic File 3: Shinichi and Ran - Memories of Mahjong Tiles and Tanabata,1,Meitantei Conan Magic File 3: Shinichi to Ran Mahjong Pai to Tanabata no Omoide,OVA
Forest of Piano Second Season,12,Piano no Mori (TV) 2nd Season,TV
N/A,76,Marmalade Boy,TV
"If My Favorite Pop Idol Made It to the Budokan, I Would Die",12,Oshi ga Budoukan Ittekuretara Shinu,TV
Naruto Shippuden the Movie 4: The Lost Tower,1,Naruto: Shippuuden Movie 4 - The Lost Tower,Movie
Ghost in the Shell: The New Movie,1,Koukaku Kidoutai: Shin Movie,Movie
The Place Promised in Our Early Days,1,"Kumo no Mukou, Yakusoku no Basho",Movie
Ghost in the Shell: Arise - Border 4: Ghost Stands Alone,1,Koukaku Kidoutai Arise: Ghost in the Shell - Border:4 Ghost Stands Alone,Movie
N/A,52,Jewelpet Twinkle☆,TV
Ghost in the Shell: Arise - Border 1: Ghost Pain,1,Koukaku Kidoutai Arise: Ghost in the Shell - Border:1 Ghost Pain,Movie
Dropkick On My Devil!! X,12,Jashin-chan Dropkick X,TV
"K: SEVEN STORIES ""Lost Small World - Outside the Cage - """,1,K: Seven Stories Movie 4 - Lost Small World - Ori no Mukou ni,Movie
N/A,13,K,TV
N/A,52,Yao Shen Ji 4th Season,ONA
The Familiar of Zero F,12,Zero no Tsukaima F,TV
Is This a Zombie? Of the Dead OVA,1,"Kore wa Zombie desu ka? of the Dead: Hai, Minotake ni Attemasu",OVA
N/A,1,Toradora! Recap,OVA
N/A,13,Tiger & Bunny 2,ONA
Cheeky Angel,50,Tenshi na Konamaiki,TV
The Prince of Tennis: A Gift from Atobe,1,Tennis no Oujisama: Atobe kara no Okurimono - Kimi ni Sasageru Tennis Prince Matsuri,Movie
To LOVE Ru Darkness 2,12,To LOVE-Ru Darkness 2nd,TV
Library Wars,12,Toshokan Sensou,TV
Zakuro,13,Otome Youkai Zakuro,TV
WWW.WAGNARIA!!,13,WWW.Working!!,TV
Birdy the Mighty: Decode,13,Tetsuwan Birdy Decode,TV
N/A,12,Tsugu Tsugumomo,TV
To LOVE Ru Darkness,12,To LOVE-Ru Darkness,TV
Tanaka-kun is Always Listless Specials,7,Tanaka-kun wa Itsumo Kedaruge Specials,Special
N/A,3,Soukyuu no Fafner: Dead Aggressor - The Beyond Part 3,Movie
Urusei Yatsura,23,Urusei Yatsura (2022),TV
N/A,1,"Tamayura: Hitotose - Attakai Kaze no Omoide, nanode",Special
N/A,26,Simoun,TV
N/A,3,Tales of Symphonia The Animation: Sekai Tougou-hen,OVA
Young GTO,5,Shonan Junai Gumi!,OVA
N/A,51,Shugo Chara!,TV
The Squid Girl,12,Shinryaku! Ika Musume,TV
Croisée in a Foreign Labyrinth The Animation,12,Ikoku Meiro no Croisée The Animation,TV
High School DxD Born OVA,1,High School DxD BorN: Yomigaeranai Fushichou,OVA
N/A,12,Idoly Pride,TV
Attack on Titan: Since That Day,1,Shingeki no Kyojin: Ano Hi Kara,TV Special
N/A,12,High School DxD BorN,TV
N/A,20,Hetalia: The Beautiful World,ONA
N/A,12,Mitsuboshi Colors,TV
Brave Police J-Decker,48,Yuusha Keisatsu J-Decker,TV
N/A,3,Gunsmith Cats,OVA
N/A,1,Inazuma Eleven: Saikyou Gundan Ogre Shuurai,Movie
Pokémon Horizons: The Series,355,Pokemon (2023),TV
Gokudo,26,Gokudou-kun Manyuuki,TV
N/A,1,Initial D Extra Stage 2,OVA
N/A,22,Guilty Crown,TV
Higurashi: When They Cry – Rei,5,Higurashi no Naku Koro ni Rei,OVA
How I Attended an All-Guy's Mixer,12,Goukon ni Ittara Onna ga Inakatta Hanashi,TV
N/A,26,Doraemon,TV
N/A,1,Doraemon Movie 42: Nobita to Sora no Utopia,Movie
N/A,37,Gallery Fake,TV
N/A,1,Gantz:O,Movie
A Dog of Flanders,52,Flanders no Inu,TV
Donten: Laughing Under the Clouds - Gaiden: Chapter 1 - One Year After the Battle,1,"Donten ni Warau Gaiden: Ketsubetsu, Yamainu no Chikai",Movie
Waiting in the Summer,12,Ano Natsu de Matteru,TV
N/A,12,Rozen Maiden,TV
Heidi: Girl of the Alps,52,Alps no Shoujo Heidi,TV
Petite Princess Yucie,26,Puchi Pri*Yucie,TV
World of Immortals,26,Chang Sheng Jie,ONA
N/A,1,Brave Story,Movie
N/A,75,Taiyou no Kiba Dougram,TV
N/A,11,Psycho-Pass 2,TV
You're Under Arrest The Movie,1,Taiho Shichau zo The Movie,Movie
My Family,330,Atashin'chi,TV
N/A,12,Aharen-san wa Hakarenai Season 2,TV
Handyman Saitou in Another World,12,"Benriya Saitou-san, Isekai ni Iku",TV
Tales of Little Women,48,Ai no Wakakusa Monogatari,TV
Mr. Osomatsu Episode 3.5: Virgin Heroes,1,Osomatsu-san Special,Special
N/A,1,Aikatsu Stars! Movie,Movie
N/A,3,Mahou Sensei Negima!: Shiroki Tsubasa Ala Alba,OVA
N/A,13,Level E,TV
N/A,12,Mieruko-chan,TV
N/A,1,Kono Sekai no Tanoshimikata: Secret Story Film,Movie
N/A,1,Minami-ke Omatase,OVA
N/A,13,Love Live! Sunshine!!,TV
The Future Diary,26,Mirai Nikki (TV),TV
Black Butler II Specials,6,Kuroshitsuji II Specials,Special
Keroro Movie 3,1,Keroro Gunsou Movie 3: Tenkuu Daikessen de Arimasu!,Movie
Love After World Domination,12,Koi wa Sekai Seifuku no Ato de,TV
N/A,1,Kingsglaive: Final Fantasy XV,Movie
JOKER 4th Season,13,Kaitou Joker 4th Season,TV
The Familiar of Zero: Knight of the Twin Moons,12,Zero no Tsukaima: Futatsuki no Kishi,TV
N/A,1,Noblesse: Awakening,ONA
N/A,25,Major 2nd,TV
False Memory,1,Jiyi Guanli Ju,ONA
Tico and Friends,39,Nanatsu no Umi no Tico,TV
Detective Conan OVA 06: Follow the Vanished Diamond! Conan & Heiji vs. Kid!,1,Meitantei Conan OVA 06: Kieta Daiya wo Oe! Conan & Heiji VS Kid!,OVA
Ling Cage,6,Ling Long: Incarnation,ONA
The Irregular at Magic High School,26,Mahouka Koukou no Rettousei,TV
N/A,1,Joshiraku OVA,OVA
N/A,12,Isekai Quartet,TV
Elf Academy,10,Renou Xueyuan,ONA
N/A,1,Mardock Scramble: The Third Exhaust,Movie
N/A,4,Xue Ying Ling Zhu Zhi Qi Yu Pian,ONA
N/A,12,Medaka Box Abnormal,TV
N/A,12,Ramen Akaneko,TV
Lord El-Melloi II's Case Files: Rail Zeppelin Grace Note,13,Lord El-Melloi II-sei no Jikenbo: Rail Zeppelin Grace Note,TV
The Café Terrace and Its Goddesses Season 2,12,Megami no Café Terrace 2nd Season,TV
Sherlock Hound,26,Meitantei Holmes,TV
N/A,6,Karas,OVA
N/A,1,Jiang Ziya,Movie
Maid Sama! Play with Your Husband ♥,1,Kaichou wa Maid-sama!: Goshujinsama to Asonjao♥,Special
N/A,12,Isekai Quartet 2,TV
Blood Blockade Battlefront OVA,1,Kekkai Sensen: Ousama no Restaurant no Ousama,OVA
Yuki Yuna is a Hero,12,Yuuki Yuuna wa Yuusha de Aru,TV
N/A,26,Xue Ying Ling Zhu,ONA
Carp Reborn,16,Yuan Long,ONA
Yowapeda Re:RIDE,1,Yowamushi Pedal: Re:Ride,Movie
N/A,39,Whistle!,TV
N/A,1,Soukyuu no Fafner: Dead Aggressor - Right of Left,TV Special
Fafner: Heaven and Earth,1,Soukyuu no Fafner: Dead Aggressor - Heaven and Earth,Movie
Mobile Suit Gundam Wing: Operation Meteor,4,Shin Kidou Senki Gundam Wing: Operation Meteor,OVA
Desert Punk,24,Sunabouzu,TV
Shakugan no Shana: The Movie,1,Shakugan no Shana Movie,Movie
N/A,1,Uta no☆Prince-sama♪ Movie: Maji Love Kingdom,Movie
N/A,1,Doraemon: 2112-nen Doraemon Tanjou,Movie
Hakuoki ~Demon of the Fleeting Blossom~,12,Hakuouki,TV
Hyouka: What Should Be Had,1,Hyouka: Motsubeki Mono wa,OVA
Hifuu Club Activity Record: The Sealed Esoteric History,58,Hifuu Katsudou Kiroku: The Sealed Esoteric History,OVA
Night on the Galactic Railroad,1,Ginga Tetsudou no Yoru,Movie
N/A,37,Future GPX Cyber Formula,TV
Barefoot Gen 2,1,Hadashi no Gen 2,Movie
N/A,12,Deca-Dence,TV
Danganronpa 3: The End of Hope's Peak High School - Despair Arc,11,Danganronpa 3: The End of Kibougamine Gakuen - Zetsubou-hen,TV
City Hunter: Death of the Vicious Criminal Ryo Saeba,1,City Hunter: Kinkyuu Namachuukei!? Kyouakuhan Saeba Ryou no Saigo,TV Special
N/A,13,AKB0048,TV
N/A,128,Captain Tsubasa,TV
Dakaichi -I'm being harassed by the sexiest man of the year-,13,Dakaretai Otoko 1-i ni Odosarete Imasu.,TV
Amanchu! Episode 13: The Story of the Promised Summer and New Memories,1,Amanchu!: Yakusoku no Natsu to Atarashii Omoide no Koto,OVA
My Hero Academia Season 5,25,Boku no Hero Academia 5th Season,TV
N/A,52,Idaten Jump,TV
N/A,1,Cocoon: Aru Natsu no Shoujo-tachi yori,TV Special
Inu X Boku Secret Service,12,Inu x Boku SS,TV
Full-Time Magister 3rd Season,12,Quanzhi Fashi III,ONA
