eng_title,episode_num,jp_title,show_type
The Disastrous Life of Saiki K. Final Arc,1,Saiki Kusuo no Ψ-nan: Kanketsu-hen,TV Special
Spice and Wolf,13,Ookami to Koushinryou,TV
N/A,77,SKET Dance,TV
N/A,26,Major S1,TV
The King's Avatar (2018),3,Quanzhi Gaoshou Specials,ONA
N/A,25,Magi: The Kingdom of Magic,TV
Kuroko's Basketball 2,25,Kuroko no Basket 2nd Season,TV
N/A,26,Major S3,TV
Sasaki and Miyano,12,Sasaki to Miyano,TV
Detective Conan Movie 13: The Raven Chaser,1,Meitantei Conan Movie 13: Shikkoku no Chaser,Movie
The Tale of the Princess Kaguya,1,Kaguya-hime no Monogatari,Movie
Cardcaptor Sakura Movie 2: The Sealed Card,1,Cardcaptor Sakura Movie 2: Fuuin Sareta Card,Movie
N/A,25,Fruits Basket 1st Season,TV
N/A,1,Digimon Adventure: Last Evolution Kizuna,Movie
N/A,70,Cardcaptor Sakura,TV
N/A,24,Initial D Fourth Stage,TV
Girls und Panzer das Finale – Part 3,1,Girls & Panzer: Saishuushou Part 3,Movie
Bungo Stray Dogs 2,12,Bungou Stray Dogs 2nd Season,TV
N/A,25,Bakuman.,TV
A Will Eternal 2nd Season,54,Yi Nian Yong Heng: Chuan Cheng Pian,ONA
Scissor Seven: Fragments of Memory,10,Wu Liuqi: Jiyi Suipian,ONA
N/A,12,Black Lagoon: The Second Barrage,TV
Moriarty the Patriot,11,Yuukoku no Moriarty,TV
Solo Leveling: ReAwakening,1,Ore dake Level Up na Ken: ReAwakening,Movie
"No Game, No Life: Zero",1,No Game No Life: Zero,Movie
N/A,1,"Kamisama Hajimemashita: Kamisama, Shiawase ni Naru",OVA
Kotaro Lives Alone,10,Kotarou wa Hitorigurashi,ONA
Little Busters! ~Refrain~,13,Little Busters! Refrain,TV
N/A,26,Aria the Natural,TV
Reborn!,203,Katekyou Hitman Reborn!,TV
Kamisama Kiss,13,Kamisama Hajimemashita,TV
N/A,12,Hinamatsuri,TV
given The Movie,1,Given Movie 1,Movie
N/A,1,Working!!! Lord of the Takanashi,Special
N/A,1,Gintama': Futon ni Haitte kara Buki Nokoshi ni Kizuite Neru ni Nerenai Toki mo Aru,Special
Golden Kamuy Season 4,13,Golden Kamuy 4th Season,TV
Skip and Loafer,12,Skip to Loafer,TV
Moribito - Guardian of the Spirit,26,Seirei no Moribito,TV
Food Wars! Shokugeki no Soma,24,Shokugeki no Souma,TV
N/A,11,Nodame Cantabile: Paris-hen,TV
Makeine: Too Many Losing Heroines!,12,Make Heroine ga Oosugiru!,TV
Spy x Family Code: White,1,Spy x Family Movie: Code: White,Movie
N/A,11,Nisemonogatari,TV
Mobile Suit Gundam: The Origin - Advent of the Red Comet,13,Kidou Senshi Gundam: The Origin - Zenya Akai Suisei,TV
N/A,1,Interstella5555: The 5tory of The 5ecret 5tar 5ystem,Movie
The Wind Rises,1,Kaze Tachinu,Movie
given - on the other hand,1,Given: Uragawa no Sonzai,OVA
Tsubasa RESERVoir CHRoNiCLE: Spring Thunder Chronicle,2,Tsubasa: Shunraiki,OVA
Future Boy Conan,26,Mirai Shounen Conan,TV
Kuroko’s Basketball: It is the Best Present,1,Kuroko no Basket: Saikou no Present desu,Special
The Ancient Magus' Bride: Those Awaiting a Star,3,Mahoutsukai no Yome: Hoshi Matsu Hito,OVA
To Your Eternity Season 2,20,Fumetsu no Anata e Season 2,TV
JoJo's Bizarre Adventure: Stone Ocean,12,JoJo no Kimyou na Bouken Part 6: Stone Ocean,ONA
Haikyuu!! the Movie: The Winner and the Loser,1,Haikyuu!! Movie 2: Shousha to Haisha,Movie
Hidamari Sketch: Sae & Hiro Graduation,2,Hidamari Sketch: Sae Hiro Sotsugyou-hen,OVA
Mobile Suit Gundam Unicorn,7,Kidou Senshi Gundam Unicorn,OVA
Silver Spoon,11,Gin no Saji,TV
N/A,24,Durarara!!,TV
Hell's Paradise,13,Jigokuraku,TV
N/A,12,Detroit Metal City,OVA
GaoGaiGar Final,8,Yuusha-Ou GaoGaiGar Final,OVA
